Scan,Color,Generation,Selection,Progeny,Label (C-G-S-P),Founder
S088,Orange,1,188,1,O-1-188-1,
S088,Blue,7,164,3,B-7-164-3,
S089,Red,70,4,3,R-70-4-3,Trebi
S089,Blue,1,149,1,B-1-149-1,
S089,Orange,1,158,2,O-1-158-2,
S089,Green,1,187,3,G-1-187-3,
S090,Green,1,88,3,G-1-88-3,
S090,Orange,1,142,2,O-1-142-2,
S090,Red,1,174,2,R-1-174-2,
S090,Blue,7,204,1,B-7-204-1,
S091,Blue,1,4,1,B-1-4-1,
S091,Green,1,31,2,G-1-31-2,
S091,Red,1,96,3,R-1-96-3,
S091,Orange,7,71,3,O-7-71-3,
S092,Green,1,11,1,G-1-11-1,
S092,Orange,1,23,2,O-1-23-2,
S092,Blue,1,199,3,B-1-199-3,
S092,Red,7,192,2,R-7-192-2,
S093,Red,1,200,1,R-1-200-1,
S093,Orange,1,217,3,O-1-217-3,
S093,Green,7,76,3,G-7-76-3,
S093,Blue,7,89,2,B-7-89-2,
S094,Orange,1,12,1,O-1-12-1,
S094,Green,1,118,3,G-1-118-3,
S094,Red,1,193,2,R-1-193-2,
S094,Blue,7,103,1,B-7-103-1,
S095,Orange,1,2,2,O-1-2-2,
S095,Red,1,83,2,R-1-83-2,
S095,Green,1,128,3,G-1-128-3,
S095,Blue,1,163,1,B-1-163-1,
S096,Green,1,37,1,G-1-37-1,
S096,Blue,1,84,1,B-1-84-1,
S096,Red,1,188,2,R-1-188-2,
S096,Orange,7,180,3,O-7-180-3,
S097,Blue,61,5,3,B-61-5-3,Maison Carree (Carre 42)
S097,Green,1,52,1,G-1-52-1,
S097,Red,1,113,3,R-1-113-3,
S097,Orange,1,156,2,O-1-156-2,
S098,Red,1,3,2,R-1-3-2,
S098,Blue,1,68,2,B-1-68-2,
S098,Orange,1,113,1,O-1-113-1,
S098,Green,7,220,3,G-7-220-3,
S099,Blue,1,36,2,B-1-36-2,
S099,Orange,1,123,1,O-1-123-1,
S099,Red,1,170,1,R-1-170-1,
S099,Green,7,134,3,G-7-134-3,
S100,Green,1,60,1,G-1-60-1,
S100,Orange,1,77,2,O-1-77-2,
S100,Red,7,60,2,R-7-60-2,
S100,Blue,7,180,1,B-7-180-1,
S101,Orange,1,21,1,O-1-21-1,
S101,Green,1,24,2,G-1-24-2,
S101,Blue,1,29,1,B-1-29-1,
S101,Red,1,107,3,R-1-107-3,
S102,Blue,1,15,3,B-1-15-3,
S102,Red,1,22,3,R-1-22-3,
S102,Orange,1,46,1,O-1-46-1,
S102,Green,1,86,2,G-1-86-2,
S103,Red,1,108,1,R-1-108-1,
S103,Blue,7,125,2,B-7-125-2,
S103,Orange,7,130,2,O-7-130-2,
S103,Green,7,188,1,G-7-188-1,
S104,Blue,47,4,2,B-47-4-2,Arequipa
S104,Red,1,84,3,R-1-84-3,
S104,Green,1,144,1,G-1-144-1,
S104,Orange,1,144,2,O-1-144-2,
S105,Green,1,65,3,G-1-65-3,
S105,Red,1,180,3,R-1-180-3,
S105,Orange,7,30,1,O-7-30-1,
S105,Blue,7,188,3,B-7-188-3,
S106,Orange,1,101,2,O-1-101-2,
S106,Red,1,155,1,R-1-155-1,
S106,Green,7,45,3,G-7-45-3,
S106,Blue,7,156,2,B-7-156-2,
S107,Orange,50,3,1,O-50-3-1,Club Mariout
S107,Red,66,5,3,R-66-5-3,Oderbrucker
S107,Green,1,114,1,G-1-114-1,
S107,Blue,7,42,1,B-7-42-1,
S108,Orange,1,9,1,O-1-9-1,
S108,Green,1,42,1,G-1-42-1,
S108,Red,1,111,3,R-1-111-3,
S108,Blue,7,164,2,B-7-164-2,
S109,Green,67,3,3,G-67-3-3,Orel
S109,Red,1,90,1,R-1-90-1,
S109,Orange,1,128,2,O-1-128-2,
S109,Blue,7,118,3,B-7-118-3,
S110,Green,1,19,1,G-1-19-1,
S110,Red,1,112,3,R-1-112-3,
S110,Blue,1,171,3,B-1-171-3,
S110,Orange,1,177,2,O-1-177-2,
S111,Red,71,5,1,R-71-5-1,White Smyrna
S111,Green,1,129,3,G-1-129-3,
S111,Blue,1,198,1,B-1-198-1,
S111,Orange,1,207,1,O-1-207-1,
S112,Blue,1,44,2,B-1-44-2,
S112,Green,1,46,3,G-1-46-3,
S112,Orange,1,141,2,O-1-141-2,
S112,Red,1,145,1,R-1-145-1,
S113,Orange,1,34,1,O-1-34-1,
S113,Blue,1,96,1,B-1-96-1,
S113,Green,1,160,3,G-1-160-3,
S113,Red,1,185,2,R-1-185-2,
